filepath,pdf_base,voluntario,seq,bytes
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_1/Pranchetas fotografias - PUFA - treinamento_Voluntario1.jpeg,Pranchetas fotografias - PUFA - treinamento,1,1,101315
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewB/Pranchetas fotografias - PUFA - treinamento_Voluntario1.jpeg,Pranchetas fotografias - PUFA - treinamento,1,1,101315
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario1.jpeg,Pranchetas fotografias - PUFA - treinamento,1,1,101315
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario6.jpeg,Pranchetas fotografias - PUFA - treinamento,6,1,45706
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario6.jpeg,Pranchetas fotografias - PUFA - treinamento,6,1,45706
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario6.jpeg,Pranchetas fotografias - PUFA - treinamento,6,1,45706
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario7.jpeg,Pranchetas fotografias - PUFA - treinamento,7,1,30794
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario7.jpeg,Pranchetas fotografias - PUFA - treinamento,7,1,30794
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario7.jpeg,Pranchetas fotografias - PUFA - treinamento,7,1,30794
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario8.jpeg,Pranchetas fotografias - PUFA - treinamento,8,1,34302
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario8.jpeg,Pranchetas fotografias - PUFA - treinamento,8,1,34302
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario8.jpeg,Pranchetas fotografias - PUFA - treinamento,8,1,34302
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario9.jpeg,Pranchetas fotografias - PUFA - treinamento,9,1,75116
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario9.jpeg,Pranchetas fotografias - PUFA - treinamento,9,1,75116
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario9.jpeg,Pranchetas fotografias - PUFA - treinamento,9,1,75116
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario10.jpeg,Pranchetas fotografias - PUFA - treinamento,10,1,63195
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario10.jpeg,Pranchetas fotografias - PUFA - treinamento,10,1,63195
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario10.jpeg,Pranchetas fotografias - PUFA - treinamento,10,1,63195
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,1,152060
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,1,152060
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,1,152060
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,2,180277
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,2,180277
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,2,180277
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,3,64018
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,3,64018
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,3,64018
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,4,150790
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,4,150790
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,4,150790
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,5,165235
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,5,165235
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,5,165235
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,6,160699
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,6,160699
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,6,160699
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,7,117164
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,7,117164
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,7,117164
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,8,125804
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,8,125804
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,8,125804
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,1,124140
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,1,124140
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,1,124140
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,2,100757
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,2,100757
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,2,100757
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,3,94863
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,3,94863
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,3,94863
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,4,86131
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,4,86131
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,4,86131
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,5,105903
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,5,105903
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,5,105903
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,6,91781
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,6,91781
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,6,91781
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,7,166672
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,7,166672
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,7,166672
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,8,149020
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,8,149020
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,8,149020
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,9,155268
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,9,155268
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,9,155268
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,1,180743
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,1,180743
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,1,180743
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,2,188308
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,2,188308
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,2,188308
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,3,96677
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,3,96677
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,3,96677
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,4,158490
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,4,158490
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,4,158490
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,5,197236
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,5,197236
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,5,197236
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,6,202654
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,6,202654
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,6,202654
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,7,195107
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,7,195107
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,7,195107
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,8,197452
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,8,197452
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,8,197452
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,9,196742
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,9,196742
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,9,196742
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,1,89793
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,1,89793
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,1,89793
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,2,101762
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,2,101762
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,2,101762
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,3,59643
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,3,59643
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,3,59643
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,4,65578
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,4,65578
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,4,65578
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,5,49752
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,5,49752
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,5,49752
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,6,60695
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,6,60695
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,6,60695
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,7,80760
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,7,80760
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,7,80760
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,8,94791
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,8,94791
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,8,94791
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,9,70071
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,9,70071
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,9,70071
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_10.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,10,73011
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_10.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,10,73011
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_10.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,10,73011
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario5_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,5,1,97014
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario5_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,5,1,97014
